SKU (Anonymized);jan.22;feb.22;mar.22;apr.22;mai.22;jun.22;jul.22;aug.22;sep.22;okt.22;nov.22;des.22;jan.23;feb.23;mar.23;apr.23;mai.23;jun.23;jul.23;aug.23;sep.23;okt.23;nov.23;des.23;jan.24;feb.24;mar.24;apr.24;mai.24;jun.24;jul.24;aug.24;sep.24;okt.24;nov.24;des.24;jan.25;feb.25;mar.25;apr.25;mai.25;jun.25;jul.25;aug.25;sep.25;okt.25;nov.25;des.25;SKU
945657587;464;1320;1632;960;1176;1048;888;1120;1128;1568;800;2000;936;1024;752;1608;976;808;448;28;;4000;;;4152;882;;;3422;928;880;952;1232;1080;1112;600;1272;944;1120;816;1232;688;1136;1184;940;1348;1236;540;550135551
974787844;600;3300;6200;3370;2100;3020;2510;3240;1420;2460;1670;6100;5100;3300;6900;1290;;9810;3600;2700;2180;2620;6900;4010;4500;4910;3900;1200;3900;1800;1800;2400;4800;3900;2790;3900;4800;3900;;;;;;;;;;;186326983
296593979;;56;101;52;56;25;77;20;49;99;28;93;82;33;48;29;39;25;70;39;71;38;105;35;;90;10;20;25;15;38;71;;;55;23;5;48;15;13;19;;24;44;24;10;11;26;904942225
827698260;60;100;130;60;105;105;70;104;106;133;55;149;110;60;87;108;83;50;76;106;76;83;131;80;30;73;57;52;100;27;73;36;99;69;92;73;65;92;65;54;95;41;87;107;45;75;60;51;989213872
109168017;1000;;;1500;6774;5297;1801;5466;3260;2856;;6688;7009;;;;13668;;21845;4892;4868;1296;3682;1344;5006;2956;1008;448;700;;900;;2034;4680;898;1744;2800;1448;3616;2940;1410;838;3000;1174;4476;2460;2402;1178;992196940
975932338;;;;4290;9241;;5520;5771;2373;;;22255;4573;;;;5023;1676;15659;15184;8880;1560;2160;3120;2520;6840;1500;960;1440;1520;1060;720;480;4000;1680;2520;2900;2280;1920;960;1280;2040;5640;720;1820;1680;2660;720;579258588
362480034;2432;3264;4672;4672;2304;2240;1920;2944;82;;;;;1728;9262;1856;1792;1792;1152;1856;3200;1920;4672;1216;768;1800;3392;1088;2184;1920;1792;2096;2368;3136;7488;3776;2560;2816;;;;;;;;;;;381011975
99320164;916;2834;1555;1203;957;410;2215;1845;1591;1519;1169;40;4158;1014;1146;1524;942;1509;1592;1449;2835;899;4032;504;1537;986;2164;;;;5481;5133;922;3072;1890;1575;2142;2520;1701;1701;2457;1701;2426;2331;3046;3298;2268;945;236677072
776187312;12;84;12;54;12;48;48;96;246;144;36;36;36;;36;6;42;36;54;16;78;54;90;12;102;18;72;96;12;66;12;18;54;84;30;30;66;30;96;24;12;6;102;;24;24;108;;306792599
111643470;938;1288;1560;920;1056;1232;208;;3080;1128;1176;952;780;1152;440;1608;1044;1272;820;1116;1344;1440;1920;600;1140;920;1320;1020;1140;790;900;1155;1260;1365;1200;1080;1260;1140;960;960;1020;720;1440;1020;780;1260;1320;600;776374941
920035785;24;72;83;313;166;;410;264;73;241;49;288;96;145;16;;;;764;;;168;96;144;;96;192;120;216;288;120;60;96;25;5;;;3;3;9;72;48;50;116;;;;464;163044492
781932625;5950;14184;12950;7630;6440;4830;7490;6580;3780;5530;1610;2470;4830;2590;8500;1400;2380;2870;1820;1680;3360;3290;8750;7490;13090;7280;6720;8890;7817;;4435;745;3735;3446;4480;2450;3920;7980;4410;8330;4745;10570;3920;7770;4900;6090;8680;1400;786321032
151519931;50;190;146;280;405;366;277;439;867;1042;;;;14;1845;150;380;1111;1402;1320;1872;35;2927;260;18;;;;140;100;100;220;60;100;216;246;346;111;166;162;614;116;134;160;256;308;309;60;309829313
489701896;1388;1530;4642;1836;1427;1530;1422;2844;1135;2762;1098;3784;3091;2874;6426;5218;;;;;;10414;1824;;;906;1512;606;346;1358;1152;1132;2180;1638;1568;1212;2742;1322;;;;;;;;;;;790245821
681770000;1314;1548;1206;864;1242;519;678;823;980;1446;1116;708;1584;2502;987;684;324;702;792;612;1316;1026;2088;630;522;1260;1026;407;1170;468;591;846;918;1332;1008;594;1184;1348;798;790;1086;556;1302;988;798;1086;2064;144;441125735
124440480;6672;9696;12480;5882;10824;10656;10464;10608;9984;12480;2711;18577;12480;5444;835;26621;8736;9144;9024;9792;13104;10032;19944;4992;5472;10224;9576;9576;11736;11400;7392;9144;11304;15084;9864;9528;11844;4426;;15190;;15303;14365;13368;15084;13548;16884;2628;634196653
388658021;;770;;;;192;168;96;72;210;120;210;;216;120;354;120;;96;198;168;264;426;138;;168;420;252;594;462;882;264;120;228;180;216;108;;;;;;;;;;;;417452170
735809996;240;486;654;630;228;504;582;216;180;576;162;282;876;216;144;444;144;408;240;324;392;270;486;216;198;282;420;204;306;228;162;342;252;366;222;186;342;342;180;180;342;90;180;270;234;360;270;54;952975124
221662390;69;181;226;69;146;222;208;228;178;352;129;174;486;259;230;224;198;214;124;312;222;148;670;192;143;146;141;168;210;190;265;278;178;163;217;192;202;285;216;89;212;137;203;141;198;149;311;28;850214228
997569454;240;436;466;202;420;401;150;526;369;351;379;274;712;278;254;458;162;584;182;304;647;411;534;296;307;244;357;531;354;261;305;422;346;667;549;213;417;369;404;280;478;223;471;591;346;644;553;244;134432780
